verdict,domain,split
תפח_20623-11-12,weapon,train
תפ_40999-01-21,weapon,train
תפח_26879-11-12,weapon,train
תפ_4795-12-17,weapon,train
תפ_23513-03-14,weapon,train
תפ_29984-08-16,weapon,test
תפ_54272-09-14,weapon,train
תפ_60637-11-14,weapon,train
תפ_2058-09-17,weapon,train
תפח_53504-02-24,weapon,train
תפח_56363-07-20,weapon,train
תפח_657-09,weapon,train
תפ_27782-05-13,weapon,train
תפח_55639-05-17,weapon,test
תפ_39345-03-20,weapon,train
תפ_49212-08-19,weapon,train
תפח_31041-04-13,weapon,test
תפ_65070-08-21,weapon,train
תפ_49734-12-22,weapon,train
תפ_11294-08-22,weapon,test
תפ_50330-07-18,weapon,train
תפ_40932-03-18,weapon,train
תפ_25631-03-22,weapon,train
תפ_45095-04-16,weapon,train
תפ_19424-11-15,weapon,train
תפ_40390-08-15,weapon,train
תפ_30016-09-12,weapon,train
תפ_28282-01-14,weapon,train
תפח_12074-08-16,weapon,train
תפ_6153-02-21,weapon,train
תפ_12325-09-15,weapon,train
תפ_24143-01-11,weapon,train
תפח_51122-01-13,weapon,test
תפח_27442-01-18,weapon,train
תפ_46930-03-22,weapon,test
תפ_45449-05-12,weapon,train
תפ_11739-03-21,weapon,train
תפח_49705-06-20,weapon,test
תפח_34398-05-11,weapon,train
תפ_49376-08-17,weapon,test
תפח_63752-10-15,weapon,train
תפ_46929-01-22,weapon,test
תפ_33928-09-12,weapon,test
תפ_51306-12-18,weapon,train
תפ_39850-07-16,weapon,train
תפ_14971-02-14,weapon,train
תפ_22417-12-21,weapon,train
תפ_52223-10-23,weapon,train
תפ_53431-02-22,weapon,train
תפח_10037-11-22,weapon,test
תפ_21906-07-18,weapon,train
תפ_56256-11-15,weapon,train
תפ_57177-05-22,weapon,test
תפ_7774-03-23,weapon,train
תפח_16193-01-15,weapon,train
תפ_1108-09,weapon,train
תפ_44620-01-22,weapon,train
תפ_60379-07-18,weapon,train
תפ_31935-12-21,weapon,train
תפ_57474-03-19,weapon,train
תפ_52254-06-12,weapon,train
תפ_53669-03-22,weapon,train
תפ_19019-10-16,weapon,train
תפ_53612-08-20,weapon,test
תפ_40922-11-15,weapon,train
תפ_25425-02-22,weapon,test
תפ_57539-11-15,weapon,train
תפ_69476-07-20,weapon,train
תפ_14479-06-20,weapon,train
תפ_1956-04-21,weapon,train
תפ_12341-11-22,weapon,train
תפ_48537-12-23,weapon,train
תפח_39094-05-12,weapon,train
תפח_63357-03-18,weapon,test
תפח_63185-07-21,weapon,train
תפ_36196-12-11,weapon,train
תפ_38368-09-21,weapon,test
תפח_2690-09-19,weapon,train
תפ_371-10-15,weapon,train
תפ_35007-04-13,weapon,train
תפ_33009-05-16,weapon,train
תפ_27544-05-22,weapon,test
תפ_36511-09-14,weapon,train
תפ_27417-07-23,weapon,train
תפח_34989-04-17,weapon,train
תפ_1094-05-15,weapon,train
תפ_10896-06-20,weapon,train
תפ_35684-04-18,weapon,train
תפ_7467-12-20,weapon,train
תפ_51088-03-21,weapon,test
תפ_182-11-12,weapon,train
תפח_25853-06-21,weapon,train
תפ_41754-05-22,weapon,train
תפח_46590-06-18,weapon,test
תפ_40111-05-14,weapon,train
תפ_26563-03-14,weapon,test
תפ_20051-12-17,weapon,train
תפ_17474-08-14,weapon,train
תפ_31377-10-16,weapon,train
תפ_40011-04-14,weapon,train
תפ_41728-10-23,weapon,train
תפח_4986-04-11,weapon,train
תפ_44169-08-22,weapon,test
תפ_59796-01-22,weapon,train
תפח_22343-07-11,weapon,train
תפ_8188-06-23,weapon,test
תפ_44351-06-21,weapon,test
תפ_66385-03-22,weapon,train
תפ_4325-02-21,weapon,train
תפ_18484-07-23,weapon,test
תפ_15842-11-20,weapon,train
תפ_61660-05-23,weapon,train
תפ_68389-07-20,weapon,train
תפ_46379-02-21,weapon,train
תפח_44105-09-19,weapon,train
תפח_2606-05-16,weapon,train
תפ_39808-05-23,weapon,train
תפ_31135-10-23,weapon,test
תפ_41694-03-20,weapon,train
תפ_63305-08-22,weapon,train
תפ_3670-10-13,weapon,train
תפ_52355-03-22,weapon,train
תפ_53043-09-20,weapon,test
תפ_51228-09-11,weapon,train
עפ_-_תפ_19260-06-14,weapon,train
תפ_46074-01-24,weapon,train
תפח_24704-02-19,weapon,train
תפ_37900-06-22,weapon,train
תפ_45561-04-17,weapon,train
תפ_11740-01-22,weapon,train
תפ_59422-07-14,weapon,train
תפ_57729-11-19,weapon,train
תפ_6192-12-13,weapon,train
תפח_43709-11-14,weapon,train
תפ_15802-04-22,weapon,train
תפ_12743-08-22,weapon,train
תפ_62279-07-22,weapon,train
תפ_28148-07-20,weapon,train
תפ_70404-03-23,weapon,train
תפ_32883-03-22,weapon,train
תפ_46267-08-23,weapon,train
תפח_34198-06-18,weapon,test
תפ_7820-08-17,weapon,train
תפ_19610-08-21,weapon,train
