domain,task,model,representation,f1,precision,recall,ap_pr,threshold,n_valid,n_failed,stats_file,preds_csv
drugs,binary_0,gemini_25_pro,fe_gpt_schema_v2,0.8684,0.8462,0.8919,,40.201,100,0,similarity_database_fe_gpt_schema_v2_v6score_gemini_25_pro_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gemini_25_pro_binary_0_preds.csv
drugs,binary_0,gemini_3_flash,fe_gpt_schema_v2,0.8649,0.8649,0.8649,,72.3618,100,0,similarity_database_fe_gpt_schema_v2_v6score_gemini_3_flash_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gemini_3_flash_binary_0_preds.csv
drugs,binary_0,gemma3_27b,fe_gpt_schema_v2,0.8,0.6792,0.973,,55.2764,100,0,similarity_database_fe_gpt_schema_v2_v6score_gemma3_27b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gemma3_27b_binary_0_preds.csv
drugs,binary_0,gpt4,fe_gpt_schema_v2,0.8533,0.8421,0.8649,0.937491444593638,60.3015,100,0,similarity_database_fe_gpt_schema_v2_v6score_gpt4_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gpt4_binary_0_preds.csv
drugs,binary_0,gpt51_thinking,fe_gpt_schema_v2,0.8395,0.7727,0.9189,,65.3266,100,0,similarity_database_fe_gpt_schema_v2_v6score_gpt51_thinking_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gpt51_thinking_binary_0_preds.csv
drugs,binary_0,gpt52,fe_gpt_schema_v2,0.8395,0.7727,0.9189,,56.2814,100,0,similarity_database_fe_gpt_schema_v2_v6score_gpt52_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gpt52_binary_0_preds.csv
drugs,binary_0,gpt5mini,fe_gpt_schema_v2,0.8529,0.9355,0.7838,0.9614404094971323,70.3518,100,0,similarity_database_fe_gpt_schema_v2_v6score_gpt5mini_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_gpt5mini_binary_0_preds.csv
drugs,binary_0,llama3_70b,fe_gpt_schema_v2,0.7536,0.8125,0.7027,0.8333333333333333,68.3417,100,0,similarity_database_fe_gpt_schema_v2_v6score_llama3_70b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_llama3_70b_binary_0_preds.csv
drugs,binary_0,mistral,fe_gpt_schema_v2,0.75,0.6977,0.8108,0.8219368080479192,65.3266,100,0,similarity_database_fe_gpt_schema_v2_v6score_mistral_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_mistral_binary_0_preds.csv
drugs,binary_0,qwen3_235b,fe_gpt_schema_v2,0.8333,0.7447,0.9459,0.8924108264317137,40.201,100,0,similarity_database_fe_gpt_schema_v2_v6score_qwen3_235b_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_qwen3_235b_binary_0_preds.csv
drugs,binary_0,qwen_hf,fe_gpt_schema_v2,0.8193,0.7391,0.9189,,45.2261,100,0,similarity_database_fe_gpt_schema_v2_v6score_qwen_hf_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_gpt_schema_v2_v6score_qwen_hf_binary_0_preds.csv
drugs,binary_0,gemini_25_pro,manual_fe,0.8767,0.8889,0.8649,0.9174721375827175,45.2261,100,0,similarity_database_fe_v6score_gemini_25_pro_binary_0_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/drugs/results_drugs/similarity_database_fe_v6score_gemini_25_pro_binary_0_preds.csv
