domain,task,model,representation,f1,precision,recall,ap_pr,threshold,n_valid,n_failed,stats_file,preds_csv
weapon,binary_1,gpt4,fe_gpt_schema_v2,0.782,0.7324,0.8387,0.8227616713694277,62.3116,141,0,similarity_database_fe_gpt_schema_v2_v6score_gpt4_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/weapon/results_weapon/similarity_database_fe_gpt_schema_v2_v6score_gpt4_binary_0_preds.csv
weapon,binary_1,gemini_25_pro,manual_fe,0.7971,0.7237,0.8871,0.8452585251036139,25.1256,141,0,similarity_database_fe_v6score_gemini_25_pro_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/weapon/results_weapon/similarity_database_fe_v6score_gemini_25_pro_binary_0_preds.csv
weapon,binary_1,gemini_3_flash,manual_fe,0.855,0.8116,0.9032,0.8997004100356726,62.3116,141,0,similarity_database_fe_v6score_gemini_3_flash_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/weapon/results_weapon/similarity_database_fe_v6score_gemini_3_flash_binary_0_preds.csv
weapon,binary_1,gemma3_27b,manual_fe,0.8054,0.6897,0.9677,0.771145187475963,55.2764,141,0,similarity_database_fe_v6score_gemma3_27b_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/weapon/results_weapon/similarity_database_fe_v6score_gemma3_27b_binary_0_preds.csv
weapon,binary_1,gpt4,manual_fe,0.8219,0.7143,0.9677,0.8924105846201398,48.2412,141,0,similarity_database_fe_v6score_gpt4_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/weapon/results_weapon/similarity_database_fe_v6score_gpt4_binary_0_preds.csv
weapon,binary_1,gpt51_thinking,manual_fe,0.8689,0.8833,0.8548,0.8937846762697852,65.3266,141,0,similarity_database_fe_v6score_gpt51_thinking_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/weapon/results_weapon/similarity_database_fe_v6score_gpt51_thinking_binary_0_preds.csv
weapon,binary_1,gpt52,manual_fe,0.8462,0.8088,0.8871,0.8785845375876233,58.2915,141,0,similarity_database_fe_v6score_gpt52_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/weapon/results_weapon/similarity_database_fe_v6score_gpt52_binary_0_preds.csv
weapon,binary_1,gpt5mini,manual_fe,0.7742,0.7742,0.7742,0.8436853011951544,60.3015,141,0,similarity_database_fe_v6score_gpt5mini_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/weapon/results_weapon/similarity_database_fe_v6score_gpt5mini_binary_0_preds.csv
weapon,binary_1,llama3_70b,manual_fe,0.726,0.631,0.8548,0.6716532716019193,58.2915,141,0,similarity_database_fe_v6score_llama3_70b_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/weapon/results_weapon/similarity_database_fe_v6score_llama3_70b_binary_0_preds.csv
weapon,binary_1,mistral,manual_fe,0.7536,0.6842,0.8387,0.7299602327224157,60.3015,141,0,similarity_database_fe_v6score_mistral_binary_1_stats.json,/Users/liorb/Library/CloudStorage/OneDrive-post.bgu.ac.il/Thesis!!!/new_try/experiments/v6_full_matrix/weapon/results_weapon/similarity_database_fe_v6score_mistral_binary_0_preds.csv
