row,gt,wrong,total,wrong_rate,verdict_1,verdict_2
46,0,64,67,0.955,ME-12-05-33444-999,ME-17-04-613-913
110,0,64,67,0.955,sh-10-05-7434-952,SH-18-06-11098-353
115,0,60,67,0.896,SH-16-11-7544-55,ME-16-10-12213-904
37,1,57,67,0.851,ME-16-02-59812-881,ME-22-03-52964-443
84,1,56,67,0.836,ME-16-08-44157-713,ME-17-05-35227-215
31,0,53,67,0.791,ME-16-05-25902-514,SH-17-08-47445-166
19,0,52,67,0.776,ME-18-05-32659-754,ME-15-02-9111-399
3,0,50,67,0.746,SH-17-10-10556-234,ME-16-11-13999-863
24,0,50,67,0.746,ME-16-08-229-604,ME-16-05-19384-544
109,0,49,67,0.731,ME-16-06-44840-433,ME-14-10-31218-522
58,0,47,67,0.701,ME-16-11-69158-529,ME-16-10-12213-904
81,0,47,67,0.701,ME-16-02-59812-881,ME-16-03-54615-517
139,0,44,67,0.657,ME-09-06-10774-130,SH-20-02-52091-995
4,0,42,67,0.627,SH-17-10-10556-234,m08000207-175
113,0,42,67,0.627,SH-16-09-33552-535,ME-16-11-56385-886
79,0,41,67,0.612,ME-17-05-35227-215,ME-15-02-9111-399
97,0,40,67,0.597,ME-16-06-42987-901,ME-12-04-33577-700
117,0,40,67,0.597,SH-20-02-52091-995,ME-17-05-35227-215
130,1,40,67,0.597,ME-20-01-17935-7,SH-23-03-19819-247
76,0,39,67,0.582,ME-16-10-12213-904,ME-15-02-9111-399
83,0,37,67,0.552,ME-15-12-39071-113,ME-16-10-12213-904
101,1,34,67,0.507,ME-13-10-53169-537,ME-13-10-28139-807
88,0,33,67,0.493,ME-22-03-46930-359,ME-16-03-59260-279
45,1,32,67,0.478,ME-16-05-19384-544,ME-16-03-54615-517
137,1,32,67,0.478,ME-18-10-30972-637,ME-14-11-7498-539
108,1,31,66,0.47,ME-16-03-59260-279,SH-11-12-35552-181
13,1,30,67,0.448,ME-15-08-44579-251,ME-14-12-6904-57
26,0,28,67,0.418,sh-10-05-7434-952,ME-15-06-12109-344
41,0,26,67,0.388,ME-20-01-62688-591,ME-22-03-52964-443
52,1,26,67,0.388,ME-16-05-9968-487,ME-13-04-35007-454
96,0,26,67,0.388,ME-16-10-9348-780,ME-17-05-35227-215
104,0,25,67,0.373,ME-19-04-1316-977,ME-16-05-19384-544
63,1,24,67,0.358,SH-14-02-28659-762,SH-16-05-42991-439
67,1,24,67,0.358,ME-16-10-12213-904,ME-16-01-189-123
87,0,24,67,0.358,SH-09-05-9349-998,ME-20-07-29529-567
11,0,23,67,0.343,ME-16-10-9348-780,SH-10-02-25802-731
121,0,23,67,0.343,m07001074-98,ME-17-05-35227-215
103,1,22,67,0.328,ME-16-05-9968-487,SH-11-01-41775-497
61,0,21,67,0.313,ME-16-06-42987-901,ME-12-03-13401-281
66,0,21,67,0.313,ME-16-11-13999-863,ME-21-10-18557-340
18,0,20,67,0.299,ME-16-06-42987-901,ME-14-10-31218-522
33,0,19,67,0.284,SH-19-07-60805-168,ME-20-01-17935-7
39,0,19,67,0.284,ME-16-06-64845-657,ME-12-03-13401-281
59,1,19,67,0.284,ME-16-03-59260-279,ME-16-08-54879-35
53,1,18,67,0.269,ME-16-11-69158-529,ME-14-12-6904-57
68,1,18,67,0.269,SH-15-12-65958-120,ME-16-05-9983-155
69,0,18,67,0.269,ME-18-04-19642-504,ME-16-07-45228-25
90,0,18,67,0.269,ME-17-10-62597-895,SH-15-12-65958-120
123,1,18,67,0.269,SH-17-11-53539-235,m07001074-98
38,0,17,67,0.254,ME-20-01-62688-591,ME-17-05-35227-215
16,1,15,67,0.224,ME-16-06-42987-901,ME-16-06-44840-433
55,1,15,67,0.224,ME-15-12-39071-113,ME-10-08-17917-313
56,0,15,67,0.224,ME-22-03-52964-443,SH-17-08-47445-166
134,0,15,67,0.224,SH-16-11-49772-358,ME-17-02-54432-484
99,0,14,67,0.209,ME-15-06-12109-344,SH-14-11-8987-965
107,1,13,67,0.194,ME-18-04-19642-504,ME-21-10-18557-340
