cluster,label,n_member_names,n_reps,reps,cov_Hybrid-Manual,cov_Hybrid-Full,cov_GPT-Law,cov_GPT-Free,members
5,סוג עבירה,5,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,99,101,76,84,סוג_עבירה ; סוג_העבירה ; סוגי_עבירות ; סוג_העבירות ; סוג_עבירה_נוספת
80,מספר עבירה,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,99,101,4,3,מספר_עבירה ; מספר_עבירות ; מספר_עבירה_נוספת
215,סטטוס הנשק,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,101,100,1,1,סטטוס_הנשק ; סטטוס_הנשק_[מקולקל]
646,סוג_הנשק,6,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,15,5,98,83,סוג_הנשק ; סוגי_נשק ; סוג_נשק ; סוג_כלי_נשק ; סוגי_כלי_הנשק ; סוגי_כלי_נשק
462,כמות תחמושת,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,101,64,10,11,כמות_תחמושת ; כמות_התחמושת
78,מיקום האירוע,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,45,51,2,13,מיקום_האירוע ; מקום_האירוע ; מיקום_האירועים ; מיקום_אירוע_מרכזי
509,עבירות נוספות,1,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,41,42,2,2,עבירות_נוספות
68,סוג_התחמושת,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,9,16,33,24,סוג_התחמושת ; סוג_תחמושת ; סוגי_תחמושת ; סוג_תחמושת_[9_ממ]
64,מיקום החזקת הנשק,7,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,25,29,4,7,מיקום_החזקת_הנשק ; מקום_החזקת_הנשק ; מיקום_החזקת_הנשק_הנוסף ; מיקום_החזקת_הנשק_והתחמושת ; מיקומי_החזקת_הנשק ; מקום_החזקה_בנשק ; מקום_החזקת_נשק
223,סוג הרכב,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,24,21,4,10,סוג_הרכב ; סוג_רכב ; סוג_רכב_הנאשם
307,תאריך האירוע,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,21,25,1,7,תאריך_האירוע ; תאריך_האירועים
61,מיקום_העבירה,3,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,7,5,20,16,מיקום_העבירה ; מקום_העבירה ; מיקום_עבירה
151,מיקום_הנשק,12,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,5,6,8,15,מיקום_הנשק ; מקום_רכישת_הנשק ; מיקום_רכישת_הנשק ; מקום_הסתרת_הנשק ; מיקום_מציאת_הנשק ; מיקום_תפיסת_הנשק ; מקום_גניבת_הנשק ; מיקום_הסתרת_הנשק ; מקום_השלכת_הנשק ; מקום_מסירת_הנשק ; מקום_מסירת_הנשק_והתחמושת ; מקום_מציאת_הנשק
28,מספר כדורים שנורו,8,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,5,6,15,7,מספר_כדורים_שנורו ; מספר_כדורים ; מספר_כדורים_במחסנית ; מספר_הכדורים ; מספר_כדורים_במחסנית_בעת_תפיסה ; מספר_כדורים_בסך_הכל ; מספר_כדורים_בשקית ; מספר_כדורים_שנמכרו
316,שנת לידה,4,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,5,8,3,9,שנת_לידה ; שנת_לידה_של_הנאשם ; שנת_לידה_נאשם ; שנת_לידה_הנאשם
214,שעת האירוע,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,7,9,1,8,שעת_האירוע ; שעת_אירוע_מרכזי
295,מספר סידורי של הנשק,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,5,6,6,6,מספר_סידורי_של_הנשק ; מספר_סידורי_נשק
98,מספר יריות,2,4,Hybrid-Manual|Hybrid-Full|GPT-Law|GPT-Free,3,6,6,7,מספר_יריות ; מספר_היריות
