row,gt,wrong,total,wrong_rate,verdict_1,verdict_2
33,0,53,69,0.768,ME-22-08-15747-700,ME-16-12-26620-433
63,1,52,68,0.765,ME-18-08-8864-290,SH-17-07-16759-919
12,0,49,69,0.71,ME-18-04-46786-521,ME-16-12-26620-433
14,1,45,69,0.652,ME-19-01-68942-383,ME-16-06-6788-21
2,1,41,69,0.594,ME-16-12-26620-433,ME-16-06-6788-21
11,0,41,69,0.594,ME-18-04-46786-521,ME-16-06-6788-21
85,1,40,68,0.588,SH-21-09-42879-201,SH-19-03-50607-561
86,0,40,68,0.588,SH-21-09-42879-201,SH-24-01-26596-264
79,1,38,68,0.559,SH-19-03-50607-561,ME-16-11-63255-338
93,0,36,68,0.529,SH-24-01-26596-264,SH-24-01-9804-702
15,1,36,69,0.522,ME-19-01-68958-71,ME-16-06-6788-21
74,1,23,68,0.338,ME-23-08-41833-827,ME-22-12-47987-640
98,0,20,68,0.294,SH-24-05-28565-553,SH-21-12-59578-330
99,1,17,68,0.25,SH-24-05-46424-585,SH-23-09-35299-260
9,0,17,69,0.246,ME-18-02-5680-55,ME-15-11-31122-886
95,0,16,68,0.235,SH-24-01-9804-702,ME-21-12-42162-424
76,0,14,68,0.206,SH-16-09-64418-33,SH-17-07-16759-919
91,1,14,68,0.206,SH-24-01-26596-264,SH-19-02-58269-573
56,0,13,68,0.191,SH-23-09-35299-260,ME-22-06-54208-991
55,0,12,68,0.176,SH-23-07-61816-773,SH-24-01-26596-264
1,0,9,69,0.13,ME-16-11-63255-338,ME-18-01-73652-357
64,1,8,68,0.118,ME-20-12-1338-335,ME-22-12-47987-640
43,0,8,69,0.116,SH-19-02-58269-573,SH-15-05-1276-44
68,1,7,68,0.103,ME-22-01-47042-277,ME-18-01-73652-357
70,1,7,68,0.103,ME-22-08-15747-700,ME-23-08-41833-827
92,0,7,68,0.103,SH-24-01-26596-264,SH-21-12-59578-330
0,0,7,69,0.101,ME-16-07-11608-225,ME-22-12-47987-640
71,1,5,68,0.074,ME-22-11-1990-79,ME-16-07-11608-225
22,1,5,69,0.072,ME-19-04-14578-148,ME-17-03-30876-747
48,0,5,69,0.072,SH-21-03-7171-604,ME-23-01-46786-206
54,0,3,68,0.044,SH-22-05-39259-133,SH-21-03-7171-604
57,1,3,68,0.044,SH-24-01-3818-394,ME-17-04-17677-800
65,0,3,68,0.044,ME-21-12-42162-424,ME-17-03-30876-747
66,0,3,68,0.044,ME-21-12-42162-424,SH-13-09-29504-694
67,0,3,68,0.044,ME-21-12-42162-424,SH-21-12-59578-330
72,1,3,68,0.044,ME-22-11-1990-79,ME-18-04-46786-521
88,0,3,68,0.044,SH-24-01-26596-264,ME-21-12-42162-424
90,0,3,68,0.044,SH-24-01-26596-264,SH-13-09-29504-694
4,1,2,69,0.029,ME-17-01-620-279,ME-16-12-19902-389
13,0,2,69,0.029,ME-18-08-58591-978,ME-16-06-6788-21
24,1,2,69,0.029,ME-19-07-4435-107,ME-14-01-16958-980
34,0,2,69,0.029,ME-22-11-1990-79,ME-19-04-14578-148
39,1,2,69,0.029,ME-23-05-52567-993,ME-22-04-7867-732
52,1,2,68,0.029,SH-22-05-36033-112,SH-22-05-39259-133
59,0,2,68,0.029,SH-24-05-28565-553,ME-15-09-24514-351
51,0,1,68,0.015,SH-22-01-16014-223,ME-18-07-67342-121
60,1,1,68,0.015,ME-17-01-620-279,ME-10-11-18588-3
62,0,1,68,0.015,ME-18-08-58591-978,ME-16-07-11608-225
69,0,1,68,0.015,ME-22-07-53625-139,ME-22-12-47987-640
75,1,1,68,0.015,ME-23-12-14553-571,ME-17-03-30876-747
77,0,1,68,0.015,SH-19-02-58269-573,ME-16-11-63255-338
78,0,1,68,0.015,SH-19-02-58269-573,ME-23-12-14553-571
94,0,1,68,0.015,SH-24-01-9804-702,ME-16-07-11608-225
3,1,1,69,0.014,ME-17-01-59971-328,ME-14-01-16958-980
6,1,1,69,0.014,ME-17-03-30876-747,ME-17-01-59971-328
7,1,1,69,0.014,ME-17-04-17677-800,ME-14-01-16958-980
17,1,1,69,0.014,ME-19-02-45480-398,ME-17-04-17677-800
21,1,1,69,0.014,ME-19-04-14488-104,ME-14-01-16958-980
26,0,1,69,0.014,ME-21-03-10139-230,ME-15-09-24514-351
29,1,1,69,0.014,ME-21-03-10139-230,ME-18-01-73652-357
31,0,1,69,0.014,ME-22-01-47042-277,SH-16-09-64418-33
32,1,1,69,0.014,ME-22-07-53625-139,ME-19-04-14578-148
44,0,1,69,0.014,SH-20-05-28746-251,SH-21-11-9851-17
47,0,1,69,0.014,SH-21-02-40908-370,ME-22-07-32175-327
5,0,0,69,0.0,ME-17-03-30876-747,SH-23-02-41988-839
8,0,0,69,0.0,ME-18-02-5680-55,ME-22-04-7867-732
10,1,0,69,0.0,ME-18-04-16826-842,ME-16-12-19902-389
16,1,0,69,0.0,ME-19-02-45480-398,ME-17-03-30876-747
18,1,0,69,0.0,ME-19-02-45480-398,ME-19-04-14578-148
19,1,0,69,0.0,ME-19-04-14488-104,ME-19-04-14578-148
20,0,0,69,0.0,ME-19-04-14488-104,ME-21-03-10139-230
23,1,0,69,0.0,ME-19-04-14578-148,ME-17-04-17677-800
25,1,0,69,0.0,ME-19-07-4435-107,ME-19-04-14488-104
27,0,0,69,0.0,ME-21-03-10139-230,ME-16-06-6788-21
28,0,0,69,0.0,ME-21-03-10139-230,ME-16-07-11608-225
30,0,0,69,0.0,ME-21-12-42162-424,ME-19-04-14488-104
35,0,0,69,0.0,ME-22-11-1990-79,SH-24-01-9804-702
36,0,0,69,0.0,ME-23-01-46786-206,ME-17-04-17677-800
37,0,0,69,0.0,ME-23-04-8444-574,ME-19-07-4435-107
38,1,0,69,0.0,ME-23-05-13598-78,ME-23-12-14553-571
40,0,0,69,0.0,ME-23-12-14553-571,ME-18-04-16826-842
41,0,0,69,0.0,SH-16-09-64418-33,SH-19-11-18218-11
42,0,0,69,0.0,SH-19-02-58269-573,ME-17-04-17677-800
45,0,0,69,0.0,SH-20-06-12380-808,ME-19-01-68942-383
46,0,0,69,0.0,SH-20-06-12380-808,ME-23-05-13598-78
49,0,0,69,0.0,SH-21-03-7171-604,SH-19-11-18218-11
50,0,0,68,0.0,SH-22-01-16014-223,ME-16-12-19902-389
53,0,0,68,0.0,SH-22-05-39259-133,ME-16-06-6788-21
58,0,0,68,0.0,SH-24-01-9804-702,ME-19-01-68958-71
61,0,0,68,0.0,ME-18-02-5680-55,SH-13-09-29504-694
73,1,0,68,0.0,ME-23-05-52567-993,ME-17-03-30876-747
80,0,0,68,0.0,SH-21-09-42879-201,ME-18-08-8864-290
81,0,0,68,0.0,SH-21-09-42879-201,ME-22-07-53625-139
82,0,0,68,0.0,SH-21-09-42879-201,ME-23-12-14553-571
83,0,0,68,0.0,SH-21-09-42879-201,SH-16-09-64418-33
84,0,0,68,0.0,SH-21-09-42879-201,SH-19-02-58269-573
87,0,0,68,0.0,SH-22-05-36033-112,SH-16-09-64418-33
89,0,0,68,0.0,SH-24-01-26596-264,ME-22-07-53625-139
96,0,0,68,0.0,SH-24-01-9804-702,ME-23-12-14553-571
97,0,0,68,0.0,SH-24-01-9804-702,SH-23-09-35299-260
