row,gt,wrong,total,wrong_rate,verdict_1,verdict_2
89,1,66,68,0.971,SH-24-01-26596-264,ME-22-07-53625-139
33,0,64,69,0.928,ME-22-08-15747-700,ME-16-12-26620-433
78,1,63,68,0.926,SH-19-02-58269-573,ME-23-12-14553-571
87,1,62,68,0.912,SH-22-05-36033-112,SH-16-09-64418-33
12,0,62,69,0.899,ME-18-04-46786-521,ME-16-12-26620-433
96,1,59,68,0.868,SH-24-01-9804-702,ME-23-12-14553-571
67,1,58,68,0.853,ME-21-12-42162-424,SH-21-12-59578-330
93,0,57,68,0.838,SH-24-01-26596-264,SH-24-01-9804-702
62,1,52,68,0.765,ME-18-08-58591-978,ME-16-07-11608-225
63,1,44,68,0.647,ME-18-08-8864-290,SH-17-07-16759-919
84,1,44,68,0.647,SH-21-09-42879-201,SH-19-02-58269-573
2,1,43,69,0.623,ME-16-12-26620-433,ME-16-06-6788-21
14,1,41,69,0.594,ME-19-01-68942-383,ME-16-06-6788-21
15,1,38,69,0.551,ME-19-01-68958-71,ME-16-06-6788-21
0,0,35,69,0.507,ME-16-07-11608-225,ME-22-12-47987-640
11,1,34,69,0.493,ME-18-04-46786-521,ME-16-06-6788-21
56,0,32,68,0.471,SH-23-09-35299-260,ME-22-06-54208-991
95,1,31,68,0.456,SH-24-01-9804-702,ME-21-12-42162-424
1,0,30,69,0.435,ME-16-11-63255-338,ME-18-01-73652-357
92,1,29,68,0.426,SH-24-01-26596-264,SH-21-12-59578-330
76,1,27,68,0.397,SH-16-09-64418-33,SH-17-07-16759-919
55,0,26,68,0.382,SH-23-07-61816-773,SH-24-01-26596-264
27,0,26,69,0.377,ME-21-03-10139-230,ME-16-06-6788-21
43,0,26,69,0.377,SH-19-02-58269-573,SH-15-05-1276-44
54,0,24,68,0.353,SH-22-05-39259-133,SH-21-03-7171-604
13,0,24,69,0.348,ME-18-08-58591-978,ME-16-06-6788-21
48,0,22,69,0.319,SH-21-03-7171-604,ME-23-01-46786-206
59,0,15,68,0.221,SH-24-05-28565-553,ME-15-09-24514-351
9,1,15,69,0.217,ME-18-02-5680-55,ME-15-11-31122-886
66,0,14,68,0.206,ME-21-12-42162-424,SH-13-09-29504-694
79,1,14,68,0.206,SH-19-03-50607-561,ME-16-11-63255-338
