verdict_1,verdict_2,tagger_1,tagger_2,similarity_1,similarity_2,Final_Similarity,
ME-14-01-16958-980,SH-24-01-3818-394,Guy,Lior,3,3,3,
ME-17-01-620-279,ME-10-11-18588-3,Itay,Mor,3,3,3,
ME-18-02-5680-55,SH-13-09-29504-694,Guy,Itay,1,1,1,
ME-18-08-58591-978,ME-16-07-11608-225,Itay,Itay,1,2,2,
ME-18-08-8864-290,SH-17-07-16759-919,Guy,Lior,2,1,3,
ME-20-12-1338-335,ME-22-12-47987-640,Itay,Lior,3,3,3,
ME-21-12-42162-424,ME-17-03-30876-747,Itay,Lior,1,1,1,
ME-21-12-42162-424,SH-13-09-29504-694,Itay,Lior,1,1,1,Weighted Cohen's Kappa Score: 0.5136
ME-21-12-42162-424,SH-19-02-58269-573,Guy,Lior,2,1,2,
ME-21-12-42162-424,SH-21-09-42879-201,Mor,Tal,2,1,1,
ME-21-12-42162-424,SH-21-12-59578-330,Itay,Lior,1,3,2,
ME-22-01-47042-277,ME-18-01-73652-357,Guy,Guy,3,2,3,
ME-22-07-53625-139,ME-22-12-47987-640,Guy,Lior,1,1,1,
ME-22-08-15747-700,ME-23-08-41833-827,Guy,Lior,2,4,4,
ME-22-11-1990-79,ME-16-07-11608-225,Itay,Mor,3,3,3,
ME-22-11-1990-79,ME-18-04-46786-521,Itay,Mor,3,3,3,
ME-23-05-52567-993,ME-17-03-30876-747,Guy,Itay,3,3,3,
ME-23-08-41833-827,ME-22-12-47987-640,Guy,Lior,3,2,3,
ME-23-12-14553-571,ME-17-03-30876-747,Guy,Mor,3,3,3,
SH-16-09-64418-33,SH-17-07-16759-919,Itay,Tal,2,3,2,
SH-19-02-58269-573,ME-16-11-63255-338,Mor,Tal,2,1,1,
SH-19-02-58269-573,ME-21-12-42162-424,Itay,Tal,1,1,1,
SH-19-02-58269-573,ME-23-12-14553-571,Guy,Mor,2,1,2,
SH-19-03-50607-561,ME-16-11-63255-338,Guy,Itay,2,3,4,
SH-21-09-42879-201,ME-18-08-8864-290,Itay,Lior,1,1,1,
SH-21-09-42879-201,ME-21-12-42162-424,Itay,Tal,1,1,1,
SH-21-09-42879-201,ME-22-07-53625-139,Guy,Lior,1,1,1,
SH-21-09-42879-201,ME-23-12-14553-571,Guy,Lior,1,1,1,
SH-21-09-42879-201,SH-16-09-64418-33,Guy,Lior,1,1,1,
SH-21-09-42879-201,SH-19-02-58269-573,Mor,Tal,2,1,2,
SH-21-09-42879-201,SH-19-03-50607-561,Guy,Mor,3,2,3,
SH-21-09-42879-201,SH-24-01-26596-264,Guy,Lior,2,1,2,
SH-21-09-42879-201,SH-24-01-9804-702,Guy,Mor,1,2,1,
SH-22-05-36033-112,SH-16-09-64418-33,Guy,Itay,2,1,2,
SH-24-01-26596-264,ME-21-12-42162-424,Guy,Guy,1,2,1,
SH-24-01-26596-264,ME-22-07-53625-139,Guy,Mor,1,2,2,
SH-24-01-26596-264,SH-13-09-29504-694,Itay,Tal,1,1,1,
SH-24-01-26596-264,SH-19-02-58269-573,Guy,Mor,3,3,3,
SH-24-01-26596-264,SH-21-12-59578-330,Itay,Lior,1,2,2,
SH-24-01-26596-264,SH-24-01-9804-702,Itay,Tal,1,1,1,
SH-24-01-9804-702,ME-16-07-11608-225,Itay,Lior,1,1,1,
SH-24-01-9804-702,ME-21-12-42162-424,Guy,Mor,2,2,2,
SH-24-01-9804-702,ME-23-12-14553-571,Mor,Tal,2,2,2,
SH-24-01-9804-702,SH-21-09-42879-201,Itay,Tal,1,3,1,
SH-24-01-9804-702,SH-23-09-35299-260,Guy,Mor,1,1,1,
SH-24-05-28565-553,SH-21-12-59578-330,Itay,Lior,2,2,2,
SH-24-05-46424-585,SH-23-09-35299-260,Itay,Lior,3,3,3,
,,,,,,,
itr 2:,,,,,,,
verdict_1,verdict_2,tagger_1,tagger_2,similarity_1,similarity_2,Final_Similarity,
ME-16-07-11608-225,ME-22-12-47987-640,Itay,Tal,2,1,1,
ME-16-11-63255-338,ME-18-01-73652-357,Itay,Tal,2,1,1,
ME-16-12-26620-433,ME-16-06-6788-21,Guy,Lior,1,1,1,
ME-17-01-59971-328,ME-14-01-16958-980,Guy,Mor,3,3,3,
ME-17-01-620-279,ME-16-12-19902-389,Itay,Lior,3,3,3,Weighted Cohen's Kappa Score: 0.8338
ME-17-03-30876-747,SH-23-02-41988-839,Guy,Mor,1,1,1,
ME-17-03-30876-747,ME-17-01-59971-328,Guy,Lior,3,3,3,
ME-17-04-17677-800,ME-14-01-16958-980,Itay,Tal,3,3,3,
ME-18-02-5680-55,ME-22-04-7867-732,Itay,Lior,1,1,1,
ME-18-02-5680-55,ME-15-11-31122-886,Guy,Lior,2,2,2,
ME-18-04-16826-842,ME-16-12-19902-389,Guy,Mor,3,3,3,
ME-18-04-46786-521,ME-16-06-6788-21,Guy,Lior,1,1,1,
ME-18-04-46786-521,ME-16-12-26620-433,Guy,Lior,2,3,1,
ME-18-08-58591-978,ME-16-06-6788-21,Itay,Tal,1,1,1,
ME-19-01-68942-383,ME-16-06-6788-21,Itay,Lior,1,1,1,
ME-19-01-68958-71,ME-16-06-6788-21,Guy,Lior,1,1,1,
ME-19-02-45480-398,ME-17-03-30876-747,Guy,Mor,2,3,3,
ME-19-02-45480-398,ME-17-04-17677-800,Mor,Tal,3,3,3,
ME-19-02-45480-398,ME-19-04-14578-148,Guy,Lior,3,3,3,
ME-19-04-14488-104,ME-19-04-14578-148,Itay,Tal,3,3,3,
ME-19-04-14488-104,ME-21-03-10139-230,Guy,Mor,1,1,1,
ME-19-04-14488-104,ME-14-01-16958-980,Guy,Mor,3,3,3,
ME-19-04-14578-148,ME-17-03-30876-747,Itay,Lior,3,3,3,
ME-19-04-14578-148,ME-17-04-17677-800,Itay,Lior,3,3,3,
ME-19-07-4435-107,ME-14-01-16958-980,Guy,Lior,3,3,3,
ME-19-07-4435-107,ME-19-04-14488-104,Itay,Tal,3,3,3,
ME-21-03-10139-230,ME-15-09-24514-351,Guy,Mor,1,1,1,
ME-21-03-10139-230,ME-16-06-6788-21,Itay,Tal,2,2,2,
ME-21-03-10139-230,ME-16-07-11608-225,Mor,Tal,1,1,1,
ME-21-03-10139-230,ME-18-01-73652-357,Mor,Tal,3,3,3,
ME-21-12-42162-424,ME-19-04-14488-104,Mor,Tal,1,1,1,
ME-22-01-47042-277,SH-16-09-64418-33,Itay,Tal,1,1,1,
ME-22-07-53625-139,ME-19-04-14578-148,Guy,Mor,3,3,3,
ME-22-08-15747-700,ME-16-12-26620-433,Itay,Tal,2,1,1,
ME-22-11-1990-79,ME-19-04-14578-148,Itay,Tal,1,1,1,
ME-22-11-1990-79,SH-24-01-9804-702,Guy,Lior,1,1,1,
ME-23-01-46786-206,ME-17-04-17677-800,Itay,Lior,1,1,1,
ME-23-04-8444-574,ME-19-07-4435-107,Itay,Lior,1,1,1,
ME-23-05-13598-78,ME-23-12-14553-571,Itay,Lior,3,3,3,
ME-23-05-52567-993,ME-22-04-7867-732,Itay,Lior,3,3,3,
ME-23-12-14553-571,ME-18-04-16826-842,Itay,Lior,1,1,1,
SH-16-09-64418-33,SH-19-11-18218-11,Itay,Lior,1,1,1,
SH-19-02-58269-573,ME-17-04-17677-800,Guy,Mor,1,1,1,
SH-19-02-58269-573,SH-15-05-1276-44,Itay,Tal,2,1,1,
SH-20-05-28746-251,SH-21-11-9851-17,Guy,Mor,1,1,1,
SH-20-06-12380-808,ME-19-01-68942-383,Itay,Lior,1,1,1,
SH-20-06-12380-808,ME-23-05-13598-78,Mor,Tal,1,1,1,
SH-21-02-40908-370,ME-22-07-32175-327,Mor,Tal,1,1,1,
SH-21-03-7171-604,ME-23-01-46786-206,Guy,Lior,2,1,1,
SH-21-03-7171-604,SH-19-11-18218-11,Itay,Tal,1,1,1,
SH-22-01-16014-223,ME-16-12-19902-389,Guy,Lior,1,1,1,
SH-22-01-16014-223,ME-18-07-67342-121,Mor,Tal,1,1,1,
SH-22-05-36033-112,SH-22-05-39259-133,Itay,Tal,3,3,3,
SH-22-05-39259-133,ME-16-06-6788-21,Guy,Lior,1,1,1,
SH-22-05-39259-133,SH-21-03-7171-604,Mor,Tal,1,2,1,
SH-23-07-61816-773,SH-24-01-26596-264,Guy,Lior,1,1,1,
SH-23-09-35299-260,ME-22-06-54208-991,Itay,Mor,6,1,1,
SH-24-01-3818-394,ME-14-01-16958-980,Mor,Tal,3,3,3,
SH-24-01-3818-394,ME-17-04-17677-800,Guy,Mor,3,3,3,
SH-24-01-9804-702,ME-19-01-68958-71,Mor,Tal,2,1,1,
SH-24-05-28565-553,ME-15-09-24514-351,Guy,Lior,1,1,1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"SH-19-03-50607-561,ME-16-11-63255-338,3,1,1,{""מכירה לסוכן"": ""כן"", ""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""0.4992-גרם-MDMA, \n15.6592-גרם-MDMA, \n3.9258-גרם-MDMA, \n100-יחידות-LSD, \n19.6959-גרם-MDMA, \n1.08-גרם-קנבוס, \n80.7-גרם-קנבוס, \n"", ""עבירה"": ""החזקה שלא לצריכה עצמית, יבוא/סחר, 19"", ""עבירות נלוות כן/לא"": ""כן"", ""תפקיד"": ""בעל הסמים""},{""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""30.11-גרם-LSDמ, 1,255.48-גרם-קנבוס, 689.77-גרם-חשיש, 52.616-גרם-MDMA"", ""עבירה"": ""החזקה שלא לצריכה עצמית, יבוא/סחר, כלים"", ""עבירות נלוות כן/לא"": ""כן"", ""תפקיד"": ""לא בעל הסמים""}",,,,,,,
