verdict_1,verdict_2,GT,model_score,raw
ME-16-05-25902-514,ME-16-11-56385-886,3,25.0,SIMILARITY_SCORE: 25
ME-18-06-36728-73,ME-16-09-398-589,3,90.0,SIMILARITY_SCORE: 90
SH-16-04-30406-325,ME-16-02-59812-881,1,25.0,SIMILARITY_SCORE: 25
SH-17-10-10556-234,ME-16-11-13999-863,1,35.0,SIMILARITY_SCORE: 35
SH-17-10-10556-234,m08000207-175,1,25.0,SIMILARITY_SCORE: 25
SH-18-06-11098-353,ME-16-03-54615-517,1,20.0,SIMILARITY_SCORE: 20
ME-17-05-633-549,ME-19-04-1316-977,3,92.0,SIMILARITY_SCORE: 92
ME-16-04-12480-812,ME-13-10-28139-807,3,85.0,SIMILARITY_SCORE: 85
ME-16-05-336-804,ME-15-12-39071-113,1,15.0,SIMILARITY_SCORE: 15
ME-16-10-12213-904,ME-09-05-16192-355,3,82.0,SIMILARITY_SCORE: 82
ME-17-05-633-549,ME-09-05-16192-355,1,40.0,SIMILARITY_SCORE: 40
ME-16-10-9348-780,SH-10-02-25802-731,1,30.0,SIMILARITY_SCORE: 30
ME-20-01-62688-591,ME-16-09-398-589,3,95.0,SIMILARITY_SCORE: 95
ME-15-08-44579-251,ME-14-12-6904-57,2,75.0,SIMILARITY_SCORE: 75
ME-17-05-633-549,ME-16-03-54615-517,2,78.0,SIMILARITY_SCORE: 78
ME-16-05-25902-514,ME-12-05-33444-999,3,35.0,SIMILARITY_SCORE: 35
ME-16-06-42987-901,ME-16-06-44840-433,3,88.0,SIMILARITY_SCORE: 88
ME-16-06-42987-901,ME-14-10-31218-522,1,75.0,SIMILARITY_SCORE: 75
ME-21-10-18557-340,SH-11-01-41775-497,1,25.0,SIMILARITY_SCORE: 25
ME-18-05-32659-754,ME-15-02-9111-399,2,75.0,SIMILARITY_SCORE: 75
SH-17-10-10556-234,m07001074-98,2,65.0,SIMILARITY_SCORE: 65
ME-16-05-336-804,ME-16-11-69158-529,3,88.0,SIMILARITY_SCORE: 88
ME-16-06-44840-433,SH-11-05-24791-315,1,15.0,SIMILARITY_SCORE: 15
SH-19-07-60805-168,ME-14-10-31218-522,1,65.0,SIMILARITY_SCORE: 65
sh-10-05-7434-952,ME-15-06-12109-344,1,30.0,SIMILARITY_SCORE: 30
ME-16-06-44840-433,SH-09-05-9349-998,1,15.0,SIMILARITY_SCORE: 15
ME-16-08-229-604,ME-16-05-19384-544,1,88.0,SIMILARITY_SCORE: 88
ME-16-02-18397-87,ME-20-01-62688-591,1,35.0,SIMILARITY_SCORE: 35
ME-16-08-44157-713,ME-15-11-45465-294,3,90.0,SIMILARITY_SCORE: 90
ME-15-06-12109-344,ME-12-04-33577-700,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
SH-19-07-60805-168,ME-20-01-17935-7,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-17-08-28615-573,ME-16-05-336-804,2,75.0,SIMILARITY_SCORE: 75
ME-15-12-39071-113,ME-09-11-7566-913,3,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-16-05-25902-514,SH-17-08-47445-166,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
ME-19-04-1316-977,SH-11-05-24791-315,1,,"<<error: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}>>"
